location,bhk,bath,total_sqft,encoded_loc,price
Doddakallasandra,3,3,2493.0,387,115.0
Malleshwaram,2,2,1290.0,783,120.0
Banjara Layout,5,5,1200.0,210,96.0
Electronic City,2,2,1156.0,414,42.0
Thanisandra,2,2,1230.0,1143,44.0
Volagerekallahalli,2,2,1070.0,1240,33.15
Devanahalli,2,2,3752.5,362,177.115
Ramagondanahalli,2,2,1235.0,982,49.3
6th block Koramangala,2,2,1117.0,66,110.0
Kundalahalli,3,3,1724.0,728,124.0
Jalahalli,4,4,1200.0,586,90.0
Venkatadri Layout,1,1,600.0,1199,43.0
KR Puram,3,2,1930.0,623,57.9
Whitefield,2,2,1216.0,1247,75.0
KR Puram,3,3,1452.0,623,60.0
Whitefield,2,2,1355.0,1247,78.0
HMT Layout,4,4,7500.0,487,425.0
Sarjapur  Road,3,3,2145.0,1034,190.0
Bommanahalli,2,2,957.0,267,53.0
Shantiniketan Layout,2,2,925.0,1060,48.0
Bellandur,2,2,1550.0,234,59.0
Yelahanka New Town,4,2,4000.0,1257,899.0
Kanakpura Road,3,3,2100.0,661,140.0
Bannerghatta Road,2,2,1115.0,214,61.0
Yelahanka,3,3,1692.0,1256,83.0
Baba Nagar,2,2,1100.0,178,52.0
Hormavu,3,2,1385.0,532,69.0
Hosa Road,1,1,760.0,533,24.9
Electronics City Phase 1,2,2,1335.0,419,67.0
Bommanahalli,2,2,910.0,267,45.0
Kanakpura Road,3,2,1610.0,661,55.0
Hennur Road,2,2,1341.0,519,75.76
Kurubarahalli,3,3,1200.0,730,70.0
Uttarahalli,3,2,1285.0,1174,44.98
HAL 2nd Stage,3,3,2100.0,483,252.0
Yeshwanthpur,3,3,1679.0,1262,92.13
Puttappa Layout,4,4,2675.0,941,290.0
"Ananthanagar Phase 1,Electronic City , phase 2",2,2,1016.0,120,45.9
Banashankari Stage II,4,2,1500.0,200,650.0
Palace Guttahalli,3,2,660.0,905,100.0
Rajaji Nagar,3,3,2448.0,971,400.0
Bellandur,2,2,924.0,234,35.11
8th Phase JP Nagar,1,1,500.0,72,31.0
Ngef Layout,3,3,1800.0,878,88.0
Whitefield,2,2,1255.0,1247,77.0
Hennur Road,2,2,1040.0,519,50.0
Kattigenahalli,2,2,1062.0,674,47.0
Varthur Road,2,2,805.5,1186,19.33
Hosur Road,2,2,950.0,541,60.0
Whitefield,2,2,1216.0,1247,73.0
HSR Layout,2,2,1300.0,491,98.0
5th Phase JP Nagar,2,2,1390.0,60,65.0
Yelahanka,2,2,1033.0,1256,52.58
Yelahanka,2,2,1390.0,1256,65.31
Jalahalli,2,2,1020.0,586,52.0
Whitefield,1,1,709.0,1247,34.735
Whitefield,2,2,1140.0,1247,45.0
Yeshwanthpur,1,1,670.0,1262,36.85
Bhoganhalli,4,4,2171.0,250,111.0
Bannerghatta Road,2,2,1136.0,214,48.0
Doddakannelli,3,2,1477.0,389,80.0
KR Puram,2,2,1001.0,623,30.0
Yelahanka,2,2,1040.0,1256,48.86
Garudachar Palya,2,2,1060.0,440,48.5
Sarjapur,2,2,1240.0,1033,44.3
Byadarahalli,4,5,3500.0,278,450.0
Doddabommasandra,9,8,42000.0,385,175.0
Varthur,2,2,1070.0,1185,46.0
Electronic City Phase II,2,2,1253.0,416,65.8
Whitefield,2,2,1190.0,1247,60.0
Whitefield,2,2,1312.0,1247,55.0
KR Puram,2,2,750.0,623,40.0
Koramangala,3,3,1615.0,710,115.0
Marathahalli,2,2,1095.0,796,60.0
Whitefield,3,3,1745.0,1247,100.0
Rachenahalli,2,2,1050.0,959,52.5
4th T block Jayanagar,4,4,2080.0,57,440.0
Thanisandra,2,2,1220.0,1143,44.6
Kempegowda Nagar,3,3,1793.0,681,98.0
Uttarahalli,2,1,1100.0,1174,45.0
Yelahanka New Town,2,2,1385.0,1257,65.0
Begur Road,2,2,1200.0,230,45.0
Haralur Road,3,2,2017.0,503,125.0
Attibele,1,1,400.0,150,10.0
Bellandur,3,2,1400.0,234,44.81
Bethel Nagar,2,2,960.0,241,33.0
Uttarahalli,2,2,1125.0,1174,47.0
Akshaya Nagar,3,2,1551.0,96,60.0
BTM Layout,4,4,600.0,175,122.0
Vittasandra,2,2,1246.0,1237,67.4
Whitefield,4,4,3200.0,1247,224.0
Marathahalli,2,2,1060.0,796,48.0
Bharathi Nagar,2,2,1384.0,247,59.0
Byagadadhenahalli,2,2,620.0,279,23.0
Bommasandra,2,2,1005.0,268,39.77
Sarakki Nagar,3,3,1200.0,1032,128.0
Kirloskar Layout,3,3,1400.0,693,35.0
HSR Layout,3,3,2400.0,491,88.0
Whitefield,2,2,1096.0,1247,39.0
Kaggadasapura,2,1,1180.0,634,50.0
Uttarahalli,3,2,1300.0,1174,47.0
tc.palya,2,2,1020.0,1295,62.0
Margondanahalli,2,2,600.0,799,35.0
Dollar Scheme Colony,4,6,3563.0,395,310.0
Konanakunte Cross,2,2,1165.0,706,47.0
Bellandur,3,3,1685.0,234,100.0
Raja Rajeshwari Nagar,3,3,1580.0,967,53.56
Balagere,2,2,1210.0,186,83.0
Kammasandra,2,1,1030.0,651,25.75
Nagappa Reddy Layout,2,2,1100.0,842,43.5
Hebbal,3,3,1255.0,510,77.68
Jakkur,3,3,1482.0,581,86.0
Hebbal,2,2,1344.0,510,108.0
Kothannur,3,2,1275.0,712,39.8
Vidyaranyapura,3,3,462.0,1211,38.0
Omarbagh Layout,4,5,3300.0,894,318.0
Panathur,2,2,1210.0,909,85.0
Hebbal,3,3,1320.0,510,226.0
Hosa Road,3,3,1532.0,533,98.13
JP Nagar,2,2,1245.0,572,110.0
Nagarbhavi,2,2,1212.0,844,50.0
Sarjapur  Road,2,2,1230.0,1034,65.0
Indira Nagar,5,5,1000.0,560,180.0
Ramagondanahalli,3,3,2257.0,982,159.0
Vittasandra,2,2,1246.0,1237,65.4
Gunjur,2,2,1080.0,481,41.0
Varthur,3,2,1360.0,1185,85.0
Yelenahalli,2,2,1260.0,1259,47.88
Kengeri Satellite Town,4,3,1200.0,687,110.0
Thigalarapalya,2,2,1418.0,1148,104.0
anjananager magdi road,3,3,1200.0,1267,165.0
Kasavanhalli,2,2,950.0,667,39.0
Nagarbhavi,2,2,1020.0,844,55.0
Electronic City Phase II,3,2,1400.0,416,40.44
Kodipalya,4,4,1440.0,703,88.0
Huskur,6,6,800.0,549,75.0
KR Puram,3,2,1462.5,623,62.81
Electronics City Phase 1,2,2,1175.0,419,69.0
Raja Rajeshwari Nagar,2,2,1185.0,967,40.17
Aishwarya Crystal Layout,3,3,2250.0,94,113.0
Sarjapur  Road,2,2,1178.0,1034,40.43
Ulsoor,4,4,36000.0,1171,450.0
Whitefield,1,1,825.0,1247,44.9
Madiwala,3,3,1250.0,768,43.0
Electronics City Phase 1,2,2,1113.12,419,55.0
2nd Block Jayanagar,3,3,1718.0,37,223.0
Gottigere,2,2,1010.0,463,35.0
Kanakpura Road,2,2,900.0,661,41.0
Syndicate Bank Colony,4,4,1500.0,1124,240.0
Rayasandra,1,1,540.0,994,16.5
Electronic City,2,2,1020.0,414,29.46
Hosur Road,2,2,1194.0,541,71.64
Vijayanagar,8,6,1470.0,1217,300.0
2nd Stage Nagarbhavi,3,4,600.0,42,100.0
Electronic City,2,2,1108.0,414,67.15
Hebbal,4,2,3895.0,510,451.0
Kanakpura Road,2,2,700.0,661,34.99
Somasundara Palya,3,3,1600.0,1084,68.0
Nagarbhavi,3,3,1850.0,844,90.0
Tumkur Road,2,2,1250.0,1163,33.0
Ramamurthy Nagar,1,1,600.0,985,43.0
Raja Rajeshwari Nagar,2,2,1140.0,967,49.27
CQAL Layout,3,2,1200.0,288,75.0
Nayandanahalli,2,2,985.0,866,55.0
Bellandur,2,2,982.0,234,55.0
9th Phase JP Nagar,1,1,600.0,75,20.0
Old Madras Road,3,5,2640.0,891,142.0
Akshaya Nagar,2,2,1314.0,96,68.8
Vijaya Bank Layout,3,2,1700.0,1215,68.5
1st Phase JP Nagar,2,2,1077.0,29,93.0
Chandapura,4,2,1891.0,302,66.165
Varanasi,5,4,2000.0,1183,99.0
DUO Layout,3,3,1643.0,352,75.0
Kengeri,3,3,1200.0,685,67.0
Whitefield,2,2,1116.0,1247,51.91
Abbigere,2,2,1020.0,84,41.82
Vittasandra,7,7,621.0,1237,64.0
Daadys Gaarden Layout,3,3,1740.0,353,55.0
GM Palaya,2,2,1225.0,430,47.0
Thanisandra,3,2,1241.0,1143,61.0
Hennur,2,2,1041.0,515,40.6
Bommanahalli,2,2,1050.0,267,46.0
Srinivas Colony,3,3,4400.0,1098,901.0
Kanakpura Road,2,2,1309.0,661,64.39
Dodda Nekkundi,2,2,1128.0,379,45.0
Raja Rajeshwari Nagar,3,2,1430.0,967,50.0
Old Madras Road,2,2,1065.0,891,47.86
OMBR Layout,2,2,1085.0,884,64.0
Vishveshwarya Layout,1,1,750.0,1229,30.0
Bellandur,2,2,981.0,234,37.28
Bhoganhalli,4,4,1548.3,250,129.0
Hebbal Kempapura,4,4,2302.0,511,300.0
Kalyan nagar,3,2,1410.0,643,60.0
Hosa Road,3,3,1525.84,533,117.0
Begur Road,2,2,1200.0,230,42.6
Sampangi Rama Nagar,2,2,1030.0,1024,80.0
BTM 1st Stage,3,2,1852.0,172,95.0
Electronic City,2,2,1160.0,414,33.5
Jigani,2,2,918.0,603,49.0
Hebbal,3,2,1255.0,510,90.0
HRBR Layout,6,6,1200.0,490,250.0
JP Nagar,3,2,1150.0,572,49.9
Indira Nagar,3,3,2700.0,560,324.0
Moodalapalya,2,2,1150.0,821,69.0
Whitefield,2,2,1227.0,1247,53.49
Hebbal,3,3,1255.0,510,77.68
Moodalapalya,6,8,840.0,821,120.0
Panathur,2,2,1198.0,909,82.0
 Devarachikkanahalli,3,3,1200.0,5,160.0
Nelamangala,4,3,2600.0,875,95.0
Thigalarapalya,3,4,2072.0,1148,139.0
Pattandur Agrahara,2,2,797.0,917,32.0
Nayandanahalli,3,2,1350.0,866,68.0
Sahakara Nagar,4,4,2500.0,1020,200.0
Thigalarapalya,3,4,2215.0,1148,160.0
Kanakpura Road,1,1,525.0,661,30.0
Bannerghatta Road,4,4,2700.0,214,260.0
Gokaula Extension,3,2,1500.0,454,90.0
Subash Nagar,2,2,900.0,1105,55.0
Poorna Pragna Layout,3,2,1355.0,923,58.27
Kudlu Gate,3,2,1465.0,719,49.81
Ramamurthy Nagar,2,2,1006.0,985,57.0
Vishveshwarya Layout,4,4,2000.0,1229,75.0
Electronic City,2,2,1128.0,414,65.7
Pattanagere,2,2,850.0,916,35.0
ISRO Layout,3,2,1310.0,551,68.0
Banashankari,2,2,1390.0,192,86.0
Kathriguppe,3,2,1390.0,672,76.45
Marathahalli,4,4,2396.0,796,325.0
Electronic City,2,2,1170.0,414,33.0
Gottigere,3,2,1385.0,463,50.0
Old Madras Road,2,2,1160.0,891,42.0
Electronic City Phase II,2,2,1160.0,416,33.5
Bannerghatta Road,3,2,1200.0,214,69.0
Mahadevpura,2,2,1475.0,770,55.0
Sarjapur  Road,3,3,1939.0,1034,98.0
7th Phase JP Nagar,2,2,850.0,70,42.0
Balagere,1,1,675.0,186,45.0
Electronic City,2,2,1060.0,414,51.0
Whitefield,2,2,1235.0,1247,47.0
RTO ullalu,2,4,600.0,956,110.0
Austin Town,2,2,1250.0,153,60.0
Banashankari,2,2,1460.0,192,70.0
Akshaya Nagar,3,3,1690.0,96,85.0
Indira Nagar,1,1,850.0,560,57.0
Kanakpura Road,3,3,1843.0,661,82.0
7th Phase JP Nagar,3,3,1680.0,70,117.0
Kundalahalli,2,2,1047.0,728,84.0
8th Phase JP Nagar,2,2,1100.0,72,35.0
Indira Nagar,8,8,3250.0,560,600.0
Nagarbhavi,2,2,1120.0,844,53.0
Raja Rajeshwari Nagar,2,2,1095.0,967,38.33
Carmelaram,2,2,970.0,295,35.0
Bommanahalli,5,7,1200.0,267,125.0
Hosa Road,3,2,1100.0,533,85.0
Uttarahalli,3,3,1685.0,1174,85.0
Doddanekundi,2,2,1148.0,392,59.0
Marathahalli,2,2,1050.0,796,65.0
Bannerghatta Road,3,2,1465.0,214,76.0
Kothanur,4,5,3401.0,713,230.0
Electronic City,1,1,630.0,414,60.0
7th Phase JP Nagar,3,3,1850.0,70,150.0
Vidyaranyapura,9,9,1200.0,1211,175.0
Cottonpet,4,2,1750.0,344,225.0
Shikaripalya,3,3,1350.0,1065,60.0
Sector 7 HSR Layout,3,3,1760.0,1048,160.0
Rajaji Nagar,2,2,1440.0,971,185.0
Banashankari Stage III,2,2,1200.0,201,42.0
Hennur Bande,2,2,1100.0,516,78.0
Kaggadasapura,2,2,1140.0,634,46.0
Hormavu,3,3,1617.5,532,73.595
Gottigere,2,2,1410.0,463,45.0
Mahadevpura,3,2,1434.0,770,67.39
"ravindra nagar, T.dasarahalli peenya",2,2,1180.0,1288,74.0
Begur Road,2,2,1160.0,230,42.0
EPIP Zone,2,2,1343.0,412,86.0
LB Shastri Nagar,2,2,1184.0,734,69.0
Koramangala,3,3,2246.0,710,300.0
Rajankunte,3,4,4510.0,972,200.0
Banashankari Stage III,3,2,1305.0,201,59.0
Sarjapur  Road,4,5,3785.0,1034,280.0
1st Block BEL Layout,3,3,1540.0,24,85.0
Kanakpura Road,3,3,1550.0,661,65.11
Yelahanka,3,2,1345.0,1256,57.0
Electronic City Phase II,3,2,975.0,416,45.0
HSR Layout,2,2,1140.0,491,46.0
JP Nagar,2,2,1152.0,572,34.56
Old Airport Road,4,4,3200.0,890,700.0
Kodathi,3,2,1033.0,697,31.5
Richards Town,3,3,1800.0,999,230.0
Marathahalli,2,2,1102.0,796,53.67
Subramanyapura,3,2,1223.0,1110,42.81
Kadugodi,3,3,1762.0,632,112.0
Kengeri Satellite Town,2,2,560.0,687,16.6
KR Puram,6,6,2000.0,623,85.0
Electronic City,3,2,1410.0,414,38.0
Thanisandra,3,3,1853.0,1143,64.86
Kothanur,2,2,1455.0,713,69.0
Hebbal,2,2,1138.0,510,110.0
Sarjapur  Road,3,3,2556.0,1034,169.0
TC Palaya,3,2,1200.0,1133,66.5
Anantapura,2,2,1200.0,117,37.0
Anekal,2,1,1200.0,124,36.0
Whitefield,3,3,1870.0,1247,138.0
Panathur,2,2,1199.0,909,86.0
Prakruthi Township,6,8,800.0,930,150.0
Doddakallasandra,3,2,1360.0,387,54.4
Babusapalaya,3,3,1230.0,179,53.0
Hosahalli Extension,3,3,2000.0,535,120.0
Kasturi Nagar,4,4,1200.0,670,250.0
Kundalahalli,2,2,1047.0,728,83.0
Electronic City Phase II,4,4,6000.0,416,260.0
Ramamurthy Nagar,2,2,1200.0,985,76.0
Kengeri Satellite Town,2,2,1302.5,687,44.285
Kengeri,2,2,725.0,685,30.0
Jakkur,3,3,1645.0,581,100.0
Sultan Palaya,2,2,870.0,1113,65.0
Marathahalli,2,2,1026.0,796,49.95
Bennigana Halli,3,3,2000.0,239,145.0
Cooke Town,2,2,1710.0,343,200.0
Hosur Road,3,3,1766.0,541,130.0
Makali,1,1,500.0,777,15.0
JP Nagar,2,1,1100.0,572,15.0
Jigani,3,3,1221.0,603,52.0
Rachenahalli,1,1,680.0,959,46.0
Sarjapur  Road,2,2,1278.0,1034,90.0
Kodichikkanahalli,2,2,1025.0,699,66.0
Whitefield,2,2,1175.0,1247,39.0
Sarjapur  Road,2,2,975.0,1034,28.275
6th Phase JP Nagar,1,1,600.0,65,75.0
Seethappa Layout,2,2,850.0,1050,42.0
Anjanapura,2,2,710.0,127,25.0
Huskur,2,2,1165.0,549,33.64
Sarjapur,1,1,625.0,1033,19.0
Kaggadasapura,3,3,1340.0,634,66.0
Ananth Nagar,2,2,937.0,119,35.0
Lakkasandra,7,6,1500.0,738,210.0
JP Nagar,1,1,750.0,572,52.5
Shampura,3,3,1475.0,1054,78.0
Singapura Village,4,4,2230.0,1078,130.0
Jnanabharathi Layout,4,5,2200.0,606,100.0
Mysore Road,2,2,900.0,833,65.0
Electronic City Phase II,2,2,1116.0,416,37.0
Hoodi,2,2,948.0,527,75.0
R.T. Nagar,2,2,970.0,943,55.0
Akshayanagara East,3,3,1519.0,98,67.23
Thanisandra,3,2,1200.0,1143,65.0
Bhoganhalli,3,3,1760.0,250,127.0
Whitefield,4,5,4400.0,1247,525.0
Sahakara Nagar,3,3,1914.0,1020,179.0
Budigere,3,3,1820.0,276,85.5
Budigere,3,3,1820.0,276,93.0
Kalena Agrahara,3,3,1565.0,638,78.0
Begur Road,2,2,1334.0,230,42.69
Sarakki Nagar,2,2,924.0,1032,76.23
Jigani,2,2,914.0,603,49.0
Kengeri,1,1,500.0,685,17.0
Yelahanka,3,3,2145.0,1256,125.0
Yelahanka,5,5,1200.0,1256,162.0
Electronic City,3,3,1650.0,414,100.0
Marathahalli,4,4,3940.0,796,220.0
Electronic City,2,2,1020.0,414,29.45
Basaveshwara Nagar,2,2,1180.0,223,58.0
Ulsoor,2,2,1255.0,1171,120.0
Langford Gardens,3,5,2777.29,748,650.0
Bommasandra,2,2,1014.0,268,35.0
Shampura,4,2,920.0,1054,90.0
Attibele,2,1,695.0,150,25.0
Prithvi Layout,3,4,2273.0,936,220.0
GM Palaya,2,2,1140.0,430,48.95
Giri Nagar,6,4,3000.0,450,375.0
Whitefield,2,2,1180.0,1247,41.0
Begur Road,4,4,2400.0,230,152.0
Attibele,2,1,850.0,150,25.0
Banashankari,2,2,1200.0,192,60.0
"Bellandur, ",4,4,3160.0,235,206.0
Hoodi,3,3,1769.0,527,96.87
Bhoganhalli,4,4,1554.3,250,131.0
Haralur Road,2,2,1243.0,503,46.0
2nd Block Jayanagar,4,5,4920.0,37,1150.0
Mallasandra,2,2,905.0,780,40.0
Kothanur,1,1,627.0,713,30.0
Domlur,3,3,2180.0,399,285.0
Frazer Town,3,3,2400.0,425,260.0
Marathahalli,3,3,1435.0,796,73.0
Jakkur,4,6,3405.1,581,400.0
Kodihalli,3,3,1620.0,702,130.0
Whitefield,3,3,1862.0,1247,125.0
Kaikondrahalli,2,1,674.0,636,19.9
Marathahalli,2,2,1220.0,796,59.0
Haralur Road,2,2,1027.0,503,44.0
Electronic City,2,2,1025.0,414,49.0
Thanisandra,3,2,1430.0,1143,54.5
Panathur,2,2,1235.0,909,65.0
Electronics City Phase 1,3,2,1291.0,419,32.0
Kanakpura Road,3,3,1498.0,661,95.0
Sarjapur  Road,3,3,2180.0,1034,240.0
Electronic City,2,2,1000.0,414,29.7
Ejipura,2,2,922.0,413,70.0
Victoria Layout,2,2,850.0,1207,72.0
New Thippasandra,3,3,750.0,877,155.0
AECS Layout,2,2,1123.0,78,64.0
Raja Rajeshwari Nagar,2,2,1235.0,967,75.0
Kogilu,2,2,1250.0,704,55.55
Whitefield,4,5,2403.0,1247,360.0
Sarjapur  Road,2,2,984.0,1034,45.91
Sarjapur  Road,2,2,1305.0,1034,99.0
Attur Layout,2,1,1200.0,152,65.0
1st Block HRBR Layout,3,3,600.0,26,90.0
Hebbal,4,5,2790.0,510,204.0
Old Madras Road,4,3,2010.0,891,125.0
Electronics City Phase 1,2,2,995.0,419,42.0
Varthur Road,2,2,1277.0,1186,59.0
7th Phase JP Nagar,2,2,1236.0,70,61.33
Akshaya Nagar,2,2,1265.0,96,67.0
Kanakpura Road,1,2,525.0,661,27.0
Gubbalala,5,4,2570.0,475,141.0
Hennur Road,4,5,2400.0,519,390.0
Shikaripalya,3,3,1442.0,1065,56.24
Ardendale,2,2,1224.0,137,70.0
Bellandur,2,2,1205.0,234,59.0
Richmond Town,2,2,1233.0,1001,100.0
5th Block Hbr Layout,2,2,1312.0,58,69.0
Electronic City,3,3,1449.0,414,90.0
Yelenahalli,2,2,1090.0,1259,54.0
Kaggadasapura,5,5,2100.0,634,150.0
Uttarahalli,3,2,1390.0,1174,62.55
JP Nagar,2,2,1200.0,572,78.0
Mallasandra,4,2,600.0,780,50.0
BTM 2nd Stage,2,2,1000.0,173,58.0
Devanahalli,4,5,2400.0,362,190.0
Thanisandra,3,3,1732.0,1143,85.73
Banashankari,2,2,1290.0,192,80.0
Marasandra,3,3,1840.0,795,85.0
Thanisandra,3,4,1917.0,1143,100.0
Bhuvaneshwari Nagar,2,2,1100.0,252,57.0
Kudlu,3,2,1455.0,718,60.0
Old Airport Road,4,4,2774.0,890,208.0
Haralur Road,5,5,1200.0,503,255.0
 Devarachikkanahalli,3,2,1425.0,5,65.0
Whitefield,3,3,1655.0,1247,113.0
Haralur Road,4,5,2805.0,503,160.0
R.T. Nagar,7,7,600.0,943,93.0
AGS Layout,2,2,1040.0,80,46.79
Akshaya Nagar,2,2,1126.0,96,55.0
Kodichikkanahalli,6,4,1600.0,699,200.0
Hebbal,2,2,1250.0,510,55.55
Yelahanka,4,4,1800.0,1256,180.0
Kalkere Channasandra,2,2,1200.0,641,53.0
Ashirvad Colony,4,3,2050.0,142,100.0
Whitefield,1,1,530.0,1247,29.44
Sarjapur,4,4,2585.5,1033,139.5
Kambipura,2,2,883.0,647,37.0
Uttarahalli,3,2,1490.0,1174,59.6
Ramagondanahalli,2,2,1295.0,982,95.0
Sompura,3,3,1275.0,1086,59.0
Doddabanahalli,2,2,800.0,382,30.0
Devanahalli,1,1,1200.0,362,95.0
Bellandur,2,2,1063.0,234,58.0
Balagere,1,1,656.0,186,43.0
Shakthi Nagar,2,2,1125.0,1053,36.0
Marathahalli,2,2,881.0,796,48.06
Nayandanahalli,9,8,1350.0,866,200.0
Bisuvanahalli,2,1,700.0,266,32.0
AGS Layout,3,3,1936.0,80,110.0
Hosa Road,3,3,1680.0,533,101.0
Rayasandra,2,2,1253.0,994,57.0
Rajaji Nagar,3,3,1640.0,971,230.0
Mysore Road,3,3,1082.0,833,50.0
Electronic City,2,2,1065.0,414,30.75
Iblur Village,3,4,2100.0,556,145.0
Electronic City,2,2,1070.0,414,58.0
Raja Rajeshwari Nagar,3,3,1280.0,967,57.6
6th block Koramangala,5,5,1200.0,66,300.0
Electronic City Phase II,2,2,1125.0,416,29.25
Sarjapur  Road,3,3,1755.0,1034,122.0
Electronic City,2,2,1210.0,414,54.0
Talaghattapura,2,2,951.0,1136,30.43
Electronic City,3,2,1500.0,414,75.0
Coffee Board Layout,3,3,1652.5,342,90.0
Yeshwanthpur,3,2,1381.0,1262,76.18
Whitefield,2,2,1085.0,1247,57.0
Whitefield,1,1,905.0,1247,50.0
Hennur Road,3,3,1685.0,519,95.0
Somasundara Palya,2,2,1200.0,1084,75.0
Anandapura,2,2,1151.0,116,42.9
Brookefield,4,3,3532.0,275,170.0
Kanakpura Road,3,3,1665.0,661,86.91
Kengeri Satellite Town,2,2,800.0,687,40.0
Chamrajpet,2,2,1050.0,300,162.0
Rajiv Nagar,2,2,1030.0,981,46.5
Hoodi,2,2,1257.0,527,71.03
Whitefield,3,3,1600.0,1247,82.0
Choodasandra,3,3,1465.0,333,75.0
Jakkur,3,3,1650.0,581,111.0
Haralur Road,2,2,1243.0,503,46.0
Yelahanka New Town,2,1,680.0,1257,80.0
Whitefield,4,4,1230.0,1247,80.0
Koramangala,2,2,1300.0,710,82.0
KR Puram,2,2,1000.0,623,44.5
Mahadevpura,2,2,1146.0,770,53.8
Hennagara,6,6,1200.0,514,120.0
Indira Nagar,3,4,2601.0,560,312.0
Vishwanatha Nagenahalli,3,3,2159.0,1230,110.0
Whitefield,2,2,1255.0,1247,40.0
Hebbal Kempapura,2,2,1130.0,511,60.0
Padmanabhanagar,2,2,1200.0,902,60.0
Sarjapur  Road,2,2,1040.0,1034,37.0
TC Palaya,8,8,1500.0,1133,150.0
Byrathi Village,4,3,906.0,284,55.0
Uttarahalli,2,2,1180.0,1174,41.3
Ullal Uppanagar,7,7,1200.0,1170,169.0
Govindpura,6,7,850.0,466,100.0
KR Puram,2,2,1200.0,623,47.0
Sarjapur  Road,3,3,1374.0,1034,51.0
Vidyaranyapura,9,10,4700.0,1211,130.0
Whitefield,1,1,630.5,1247,32.15
 south,3,2,2400.0,13,480.0
Haralur Road,2,2,1027.0,503,44.0
Ittamadu,5,4,1200.0,567,130.0
Jalahalli,3,4,2384.0,586,165.0
Electronic City,3,2,1033.0,414,28.41
Yelahanka,2,2,1200.0,1256,54.0
Haralur Road,3,3,2017.0,503,105.0
Rainbow Drive,3,3,1500.0,965,138.0
Kamala Nagar,2,2,700.0,646,43.0
Shampura,6,6,1150.0,1054,75.0
Kanakpura Road,3,2,1495.0,661,52.33
Kothanur,2,2,1302.0,713,68.5
Whitefield,1,1,905.0,1247,52.0
Raja Rajeshwari Nagar,2,2,1303.0,967,55.79
Electronics City Phase 1,3,3,1350.0,419,71.0
Gottigere,3,2,1380.0,463,95.0
Harlur,3,3,1620.0,506,110.0
Chandapura,4,4,4800.0,302,250.0
Sarjapur  Road,2,2,1000.0,1034,38.5
Ramamurthy Nagar,3,4,800.0,985,88.0
Thanisandra,2,1,1250.0,1143,54.0
3rd Block Koramangala,3,3,1750.0,48,170.0
Anekal,3,3,997.0,124,55.0
Kothanur,3,3,1760.0,713,111.0
Yelahanka,2,2,1322.0,1256,75.0
Kanaka Nagar,3,3,1365.0,652,99.0
Sahakara Nagar,3,3,1500.0,1020,125.0
Kaggadasapura,3,2,1256.0,634,50.0
Brookefield,2,2,941.0,275,48.0
Devanahalli,4,4,5000.0,362,465.0
Kanakpura Road,3,3,1665.0,661,86.58
Hennur Road,2,2,1414.0,519,84.18
Chikkalasandra,3,2,1270.0,323,55.25
Madiwala,3,2,800.0,768,80.0
Kengeri Satellite Town,4,3,4100.0,687,300.0
Mathikere,6,3,1800.0,809,105.0
Pattanagere,2,2,850.0,916,35.0
Kanakpura Road,1,1,712.0,661,38.44
Rajaji Nagar,4,5,2648.0,971,251.5
Basaveshwara Nagar Yelahanka,3,4,900.0,224,180.0
TC Palaya,2,2,900.0,1133,55.0
Hebbal,2,2,1200.0,510,49.0
Kengeri Satellite Town,1,1,654.0,687,22.0
Peenya,2,1,708.0,919,55.0
Singapura Village,4,5,600.0,1078,75.0
Wilson Garden,3,3,1680.0,1251,135.0
Jakkasandra Extension,2,2,990.0,580,58.0
Uttarahalli,2,2,1380.0,1174,42.0
Hebbal,2,2,1088.0,510,62.0
Harlur,3,3,1414.0,506,77.5
Seshadripuram,2,2,1240.0,1052,100.0
Ganesha Block,3,3,1810.0,433,118.0
4th Block Jayanagar,3,3,2005.0,54,240.0
Kothanur,2,2,1185.0,713,58.0
Whitefield,3,3,1200.0,1247,57.15
Electronic City,2,2,1070.0,414,52.0
Shikaripalya,2,2,1265.0,1065,58.0
Sahakara Nagar,2,2,1100.0,1020,55.0
Friends Colony,2,2,1035.0,426,44.0
Sonnenahalli,1,1,614.5,1088,30.715
2nd Block Jayanagar,2,2,1000.0,37,97.0
Hegde Nagar,2,2,1179.0,512,49.35
Vittasandra,3,3,1650.0,1237,84.0
Malur Hosur Road,6,4,2800.0,784,100.0
Lakshmipura Vidyaanyapura,8,6,3500.0,745,120.0
Nagaraja Garden,3,3,1430.0,843,78.65
Marathahalli,3,2,1130.0,796,58.0
JP Nagar,3,2,1850.0,572,110.0
Hennur,3,3,1340.0,515,54.24
Sarjapur  Road,4,2,4334.0,1034,338.0
Nagawara Junction,2,2,600.0,851,30.0
Banashankari,3,5,2582.0,192,250.0
Channasandra,2,2,1160.0,304,55.0
Hegganahalli,1,2,1200.0,513,45.0
Rajanna Layout,2,2,1116.0,973,37.6
Nagarbhavi  BDA Complex,3,2,600.0,845,85.0
Sarakki Nagar,3,4,2663.0,1032,338.0
Devasthanagalu,2,2,1090.0,370,45.0
JP Nagar,2,2,1100.0,572,45.0
Kammasandra,3,2,1365.0,651,34.13
Vijayanagar,3,3,1484.0,1217,79.19
Green Glen Layout,3,3,1630.0,471,68.0
Whitefield,3,2,1451.0,1247,52.43
Kanakpura Road,2,2,1330.0,661,107.0
